zip,year,est total,est gen,est cold,est farm,est other
92083,2012,1,0,0,0,1
95204,2012,0,0,0,0,0
94538,2012,4,4,0,0,0
90212,2012,0,0,0,0,0
95525,2012,0,0,0,0,0
95631,2012,0,0,0,0,0
95691,2012,4,2,0,1,1
95836,2012,0,0,0,0,0
94111,2012,0,0,0,0,0
95843,2012,0,0,0,0,0
92507,2012,7,7,0,0,0
90717,2012,0,0,0,0,0
93706,2012,4,4,0,0,0
92544,2012,0,0,0,0,0
93552,2012,0,0,0,0,0
95585,2012,0,0,0,0,0
90623,2012,1,0,0,0,1
94960,2012,0,0,0,0,0
96117,2012,0,0,0,0,0
95634,2012,0,0,0,0,0
96113,2012,0,0,0,0,0
93428,2012,0,0,0,0,0
94508,2012,0,0,0,0,0
91356,2012,0,0,0,0,0
95134,2012,0,0,0,0,0
92055,2012,0,0,0,0,0
92276,2012,0,0,0,0,0
95628,2012,2,2,0,0,0
92603,2012,0,0,0,0,0
93465,2012,0,0,0,0,0
93033,2012,2,1,0,0,1
92879,2012,3,1,0,0,2
90013,2012,1,0,1,0,0
95334,2012,2,0,2,0,0
90056,2012,0,0,0,0,0
96161,2012,0,0,0,0,0
95348,2012,1,0,0,1,0
94920,2012,1,0,0,0,1
95953,2012,1,0,1,0,0
93612,2012,0,0,0,0,0
93702,2012,0,0,0,0,0
91745,2012,6,5,1,0,0
94530,2012,0,0,0,0,0
92610,2012,2,1,1,0,0
95819,2012,2,2,0,0,0
95125,2012,1,1,0,0,0
93301,2012,3,2,1,0,0
92105,2012,1,0,0,0,1
93726,2012,0,0,0,0,0
94707,2012,0,0,0,0,0
95252,2012,0,0,0,0,0
92101,2012,3,2,1,0,0
92241,2012,0,0,0,0,0
91932,2012,0,0,0,0,0
95333,2012,0,0,0,0,0
92692,2012,0,0,0,0,0
96021,2012,0,0,0,0,0
92582,2012,0,0,0,0,0
92064,2012,4,2,0,0,2
91316,2012,0,0,0,0,0
91740,2012,2,2,0,0,0
91352,2012,5,2,1,0,2
95076,2012,12,5,7,0,0
94109,2012,0,0,0,0,0
90077,2012,0,0,0,0,0
92557,2012,0,0,0,0,0
93721,2012,3,1,1,1,0
94301,2012,0,0,0,0,0
90810,2012,22,21,0,0,1
94803,2012,0,0,0,0,0
95925,2012,0,0,0,0,0
91402,2012,0,0,0,0,0
91207,2012,0,0,0,0,0
95979,2012,0,0,0,0,0
93905,2012,0,0,0,0,0
93647,2012,0,0,0,0,0
93030,2012,8,6,1,0,1
95138,2012,0,0,0,0,0
92109,2012,0,0,0,0,0
91502,2012,1,1,0,0,0
90732,2012,0,0,0,0,0
92067,2012,0,0,0,0,0
92866,2012,0,0,0,0,0
93927,2012,0,0,0,0,0
95776,2012,10,10,0,0,0
93060,2012,1,0,0,1,0
94928,2012,0,0,0,0,0
94114,2012,0,0,0,0,0
92223,2012,4,3,0,0,1
95361,2012,0,0,0,0,0
94571,2012,0,0,0,0,0
95720,2012,0,0,0,0,0
90049,2012,0,0,0,0,0
91436,2012,0,0,0,0,0
95959,2012,0,0,0,0,0
94702,2012,0,0,0,0,0
94043,2012,2,1,0,0,1
96132,2012,0,0,0,0,0
91311,2012,4,3,0,0,1
96124,2012,0,0,0,0,0
94549,2012,0,0,0,0,0
95336,2012,4,1,1,1,1
94806,2012,0,0,0,0,0
93505,2012,0,0,0,0,0
95542,2012,0,0,0,0,0
90303,2012,0,0,0,0,0
92661,2012,0,0,0,0,0
92530,2012,0,0,0,0,0
94577,2012,14,12,0,0,2
92887,2012,0,0,0,0,0
90292,2012,1,0,0,0,1
92027,2012,0,0,0,0,0
95662,2012,0,0,0,0,0
92029,2012,0,0,0,0,0
90027,2012,0,0,0,0,0
90715,2012,0,0,0,0,0
92653,2012,1,1,0,0,0
92285,2012,0,0,0,0,0
95337,2012,1,1,0,0,0
95131,2012,12,6,1,0,5
95073,2012,0,0,0,0,0
92805,2012,5,3,0,0,2
93204,2012,0,0,0,0,0
93207,2012,0,0,0,0,0
93926,2012,0,0,0,0,0
95673,2012,0,0,0,0,0
95822,2012,0,0,0,0,0
91344,2012,0,0,0,0,0
90240,2012,0,0,0,0,0
91755,2012,0,0,0,0,0
94118,2012,0,0,0,0,0
91723,2012,1,1,0,0,0
94553,2012,0,0,0,0,0
93955,2012,0,0,0,0,0
94158,2012,0,0,0,0,0
90266,2012,0,0,0,0,0
93640,2012,0,0,0,0,0
