zip,year,est total,est gen,est cold,est farm,est other
137,48,2014,0,0,0,0,0
138,92567,2014,1,1,0,0,0
139,95536,2014,0,0,0,0,0
140,92408,2014,18,16,0,0,2
141,95650,2014,0,0,0,0,0
142,91345,2014,0,0,0,0,0
143,93901,2014,12,6,6,0,0
144,93277,2014,0,0,0,0,0
145,92706,2014,0,0,0,0,0
146,90275,2014,0,0,0,0,0
147,92886,2014,0,0,0,0,0
148,95327,2014,0,0,0,0,0
149,95973,2014,0,0,0,0,0
150,96101,2014,0,0,0,0,0
151,93285,2014,0,0,0,0,0
152,91708,2014,18,18,0,0,0
153,90802,2014,2,0,0,0,2
154,92880,2014,2,2,0,0,0
155,93550,2014,0,0,0,0,0
156,95122,2014,3,1,0,0,2
157,92347,2014,0,0,0,0,0
158,95020,2014,0,0,0,0,0
159,96150,2014,0,0,0,0,0
160,91790,2014,0,0,0,0,0
161,95765,2014,4,2,0,0,2
162,93436,2014,1,0,0,0,1
163,91301,2014,1,1,0,0,0
164,93620,2014,0,0,0,0,0
165,92120,2014,2,2,0,0,0
166,90033,2014,1,0,1,0,0
167,93003,2014,1,1,0,0,0
168,93225,2014,0,0,0,0,0
169,94402,2014,0,0,0,0,0
170,94951,2014,0,0,0,0,0
171,93925,2014,0,0,0,0,0
172,57,2014,0,0,0,0,0
173,95742,2014,0,0,0,0,0
174,93458,2014,2,0,1,0,1
175,92545,2014,0,0,0,0,0
176,94403,2014,0,0,0,0,0
177,95035,2014,4,3,0,0,1
178,90020,2014,0,0,0,0,0
179,95833,2014,1,1,0,0,0
180,90680,2014,3,2,0,1,0
181,95603,2014,2,2,0,0,0
182,93536,2014,2,2,0,0,0
183,92648,2014,1,0,0,0,1
184,95640,2014,0,0,0,0,0
185,93633,2014,0,0,0,0,0
186,90731,2014,6,5,0,0,1
187,95943,2014,0,0,0,0,0
188,92278,2014,0,0,0,0,0
189,95202,2014,1,0,0,0,1
190,93662,2014,1,0,1,0,0
191,94535,2014,0,0,0,0,0
192,92260,2014,0,0,0,0,0
193,92058,2014,0,0,0,0,0
194,94703,2014,0,0,0,0,0
195,95407,2014,2,1,0,0,1
196,94585,2014,0,0,0,0,0
197,94952,2014,0,0,0,0,0
198,92083,2014,0,0,0,0,0
199,95204,2014,0,0,0,0,0
200,94538,2014,8,6,1,0,1
201,90212,2014,0,0,0,0,0
202,95525,2014,0,0,0,0,0
