,zip,year,est total,est gen,est cold,est farm,est other
176,94403,2012,0,0,0,0,0
177,95035,2012,4,3,0,0,1
178,90020,2012,0,0,0,0,0
179,95833,2012,1,1,0,0,0
180,90680,2012,0,0,0,0,0
181,95603,2012,0,0,0,0,0
182,93536,2012,2,2,0,0,0
183,92648,2012,2,0,0,0,2
184,95640,2012,0,0,0,0,0
185,93633,2012,0,0,0,0,0
186,90731,2012,5,4,1,0,0
187,95943,2012,0,0,0,0,0
188,92278,2012,0,0,0,0,0
189,95202,2012,1,0,0,0,1
190,93662,2012,1,0,1,0,0
191,94535,2012,1,1,0,0,0
192,92260,2012,0,0,0,0,0
193,92058,2012,0,0,0,0,0
194,94703,2012,0,0,0,0,0
195,95407,2012,1,1,0,0,0
196,94585,2012,0,0,0,0,0
197,94952,2012,0,0,0,0,0
198,92083,2012,1,0,0,0,1
199,95204,2012,0,0,0,0,0
200,94538,2012,4,4,0,0,0
201,90212,2012,0,0,0,0,0
202,95525,2012,0,0,0,0,0
203,95631,2012,0,0,0,0,0
204,95691,2012,4,2,0,1,1
205,95836,2012,0,0,0,0,0
206,94111,2012,0,0,0,0,0
207,95843,2012,0,0,0,0,0
208,92507,2012,7,7,0,0,0
209,90717,2012,0,0,0,0,0
210,93706,2012,4,4,0,0,0
211,92544,2012,0,0,0,0,0
212,93552,2012,0,0,0,0,0
213,95585,2012,0,0,0,0,0
214,90623,2012,1,0,0,0,1
215,94960,2012,0,0,0,0,0
216,96117,2012,0,0,0,0,0
217,95634,2012,0,0,0,0,0
218,96113,2012,0,0,0,0,0
219,93428,2012,0,0,0,0,0
220,94508,2012,0,0,0,0,0
221,91356,2012,0,0,0,0,0
222,95134,2012,0,0,0,0,0
223,92055,2012,0,0,0,0,0
224,92276,2012,0,0,0,0,0
225,95628,2012,2,2,0,0,0
226,92603,2012,0,0,0,0,0
227,93465,2012,0,0,0,0,0
228,93033,2012,2,1,0,0,1
229,92879,2012,3,1,0,0,2
230,90013,2012,1,0,1,0,0
231,95334,2012,2,0,2,0,0
232,90056,2012,0,0,0,0,0
233,96161,2012,0,0,0,0,0
234,95348,2012,1,0,0,1,0
235,94920,2012,1,0,0,0,1
236,95953,2012,1,0,1,0,0
237,93612,2012,0,0,0,0,0
238,93702,2012,0,0,0,0,0
239,91745,2012,6,5,1,0,0
240,94530,2012,0,0,0,0,0
241,92610,2012,2,1,1,0,0
242,95819,2012,2,2,0,0,0
243,95125,2012,1,1,0,0,0
244,93301,2012,3,2,1,0,0
245,92105,2012,1,0,0,0,1
246,93726,2012,0,0,0,0,0
247,94707,2012,0,0,0,0,0
248,95252,2012,0,0,0,0,0
249,92101,2012,3,2,1,0,0
250,92241,2012,0,0,0,0,0
251,91932,2012,0,0,0,0,0
252,95333,2012,0,0,0,0,0
253,92692,2012,0,0,0,0,0
254,96021,2012,0,0,0,0,0
255,92582,2012,0,0,0,0,0
256,92064,2012,4,2,0,0,2
257,91316,2012,0,0,0,0,0
258,91740,2012,2,2,0,0,0
259,91352,2012,5,2,1,0,2
260,95076,2012,12,5,7,0,0
261,94109,2012,0,0,0,0,0
262,90077,2012,0,0,0,0,0
263,92557,2012,0,0,0,0,0
264,93721,2012,3,1,1,1,0
265,94301,2012,0,0,0,0,0
266,90810,2012,22,21,0,0,1
267,94803,2012,0,0,0,0,0
268,95925,2012,0,0,0,0,0
269,91402,2012,0,0,0,0,0
270,91207,2012,0,0,0,0,0
271,95979,2012,0,0,0,0,0
272,93905,2012,0,0,0,0,0
273,93647,2012,0,0,0,0,0
274,93030,2012,8,6,1,0,1
275,95138,2012,0,0,0,0,0
276,92109,2012,0,0,0,0,0
277,91502,2012,1,1,0,0,0
278,90732,2012,0,0,0,0,0
279,92067,2012,0,0,0,0,0
280,92866,2012,0,0,0,0,0
281,93927,2012,0,0,0,0,0
282,95776,2012,10,10,0,0,0
283,93060,2012,1,0,0,1,0
284,94928,2012,0,0,0,0,0
285,94114,2012,0,0,0,0,0
286,92223,2012,4,3,0,0,1
287,95361,2012,0,0,0,0,0
288,94571,2012,0,0,0,0,0
289,95720,2012,0,0,0,0,0
290,90049,2012,0,0,0,0,0
291,91436,2012,0,0,0,0,0
292,95959,2012,0,0,0,0,0
293,94702,2012,0,0,0,0,0
294,94043,2012,2,1,0,0,1
295,96132,2012,0,0,0,0,0
296,91311,2012,4,3,0,0,1
297,96124,2012,0,0,0,0,0
298,94549,2012,0,0,0,0,0
299,95336,2012,4,1,1,1,1
300,94806,2012,0,0,0,0,0
301,93505,2012,0,0,0,0,0
302,95542,2012,0,0,0,0,0
303,90303,2012,0,0,0,0,0
304,92661,2012,0,0,0,0,0
305,92530,2012,0,0,0,0,0
306,94577,2012,14,12,0,0,2
307,92887,2012,0,0,0,0,0
308,90292,2012,1,0,0,0,1
309,92027,2012,0,0,0,0,0
310,95662,2012,0,0,0,0,0
311,92029,2012,0,0,0,0,0
312,90027,2012,0,0,0,0,0
313,90715,2012,0,0,0,0,0
314,92653,2012,1,1,0,0,0
315,92285,2012,0,0,0,0,0
316,95337,2012,1,1,0,0,0
317,95131,2012,12,6,1,0,5
318,95073,2012,0,0,0,0,0
319,92805,2012,5,3,0,0,2
320,93204,2012,0,0,0,0,0
321,93207,2012,0,0,0,0,0
322,93926,2012,0,0,0,0,0
323,95673,2012,0,0,0,0,0
324,95822,2012,0,0,0,0,0
325,91344,2012,0,0,0,0,0
326,90240,2012,0,0,0,0,0
327,91755,2012,0,0,0,0,0
328,94118,2012,0,0,0,0,0
329,91723,2012,1,1,0,0,0
330,94553,2012,0,0,0,0,0
331,93955,2012,0,0,0,0,0
332,94158,2012,0,0,0,0,0
333,90266,2012,0,0,0,0,0
334,93640,2012,0,0,0,0,0
335,95724,2012,0,0,0,0,0
336,95130,2012,0,0,0,0,0
337,92121,2012,5,2,1,0,2
338,92008,2012,1,0,0,0,1
339,96044,2012,0,0,0,0,0
340,92551,2012,4,4,0,0,0
341,91030,2012,0,0,0,0,0
342,95548,2012,0,0,0,0,0
343,92118,2012,0,0,0,0,0
344,91902,2012,0,0,0,0,0
345,92679,2012,0,0,0,0,0
346,93638,2012,0,0,0,0,0
347,92345,2012,0,0,0,0,0
348,90041,2012,0,0,0,0,0
349,93271,2012,0,0,0,0,0
350,91792,2012,0,0,0,0,0
351,93710,2012,0,0,0,0,0
352,95129,2012,0,0,0,0,0
353,95010,2012,0,0,0,0,0
354,93501,2012,0,0,0,0,0
355,94303,2012,0,0,0,0,0
356,95623,2012,0,0,0,0,0
357,95051,2012,0,0,0,0,0
358,90254,2012,0,0,0,0,0
359,95369,2012,0,0,0,0,0
360,92203,2012,0,0,0,0,0
361,91775,2012,0,0,0,0,0
362,93720,2012,0,0,0,0,0
363,92868,2012,0,0,0,0,0
364,96022,2012,0,0,0,0,0
365,94404,2012,0,0,0,0,0
366,90032,2012,1,0,0,1,0
367,95436,2012,0,0,0,0,0
368,90065,2012,1,1,0,0,0
369,91784,2012,0,0,0,0,0
370,94533,2012,1,1,0,0,0
371,95018,2012,1,0,0,0,1
372,91367,2012,0,0,0,0,0
373,95117,2012,1,1,0,0,0
374,92673,2012,0,0,0,0,0
375,93544,2012,0,0,0,0,0
376,96056,2012,0,0,0,0,0
377,92211,2012,1,0,0,0,1
378,96035,2012,0,0,0,0,0
379,92584,2012,0,0,0,0,0
380,93265,2012,0,0,0,0,0
381,94010,2012,1,1,0,0,0
382,91739,2012,2,2,0,0,0
383,92337,2012,13,11,1,0,1
384,95427,2012,0,0,0,0,0
385,92508,2012,4,4,0,0,0
386,92281,2012,0,0,0,0,0
387,95685,2012,0,0,0,0,0
388,91108,2012,0,0,0,0,0
389,93306,2012,0,0,0,0,0
390,95210,2012,0,0,0,0,0
391,93021,2012,3,2,0,0,1
392,94536,2012,0,0,0,0,0
393,92243,2012,1,1,0,0,0
394,92020,2012,0,0,0,0,0
395,91766,2012,7,5,0,0,2
396,92104,2012,0,0,0,0,0
397,92003,2012,0,0,0,0,0
398,91204,2012,1,1,0,0,0
399,93510,2012,0,0,0,0,0
400,96016,2012,0,0,0,0,0
401,93563,2012,0,0,0,0,0
402,90650,2012,4,3,1,0,0
403,95758,2012,3,3,0,0,0
404,94115,2012,0,0,0,0,0
405,94131,2012,0,0,0,0,0
406,92011,2012,2,1,1,0,0
407,95449,2012,0,0,0,0,0
408,93042,2012,0,0,0,0,0
409,95655,2012,0,0,0,0,0
410,96052,2012,0,0,0,0,0
411,90742,2012,0,0,0,0,0
412,92518,2012,3,3,0,0,0
413,92708,2012,0,0,0,0,0
414,95934,2012,0,0,0,0,0
415,95315,2012,0,0,0,0,0
416,90270,2012,0,0,0,0,0
417,96143,2012,0,0,0,0,0
418,92061,2012,0,0,0,0,0
419,91764,2012,2,2,0,0,0
420,90744,2012,7,3,3,0,1
421,92521,2012,0,0,0,0,0
422,94595,2012,0,0,0,0,0
423,90747,2012,0,0,0,0,0
424,93906,2012,0,0,0,0,0
425,92397,2012,1,0,1,0,0
426,94603,2012,2,1,0,0,1
427,92504,2012,0,0,0,0,0
428,92571,2012,2,1,0,0,1
429,92311,2012,1,1,0,0,0
430,92316,2012,5,3,1,0,1
431,90036,2012,1,0,0,0,1
432,94063,2012,3,3,0,0,0
433,93286,2012,0,0,0,0,0
434,93622,2012,0,0,0,0,0
435,95864,2012,1,1,0,0,0
436,94027,2012,0,0,0,0,0
437,95222,2012,0,0,0,0,0
438,90010,2012,1,1,0,0,0
439,92882,2012,0,0,0,0,0
440,95354,2012,2,1,1,0,0
441,90504,2012,1,1,0,0,0
442,96088,2012,0,0,0,0,0
443,94930,2012,0,0,0,0,0
444,92845,2012,0,0,0,0,0
445,95207,2012,0,0,0,0,0
446,95826,2012,1,0,0,0,1
447,91360,2012,0,0,0,0,0
448,93405,2012,0,0,0,0,0
449,92840,2012,1,1,0,0,0
450,93953,2012,0,0,0,0,0
451,95693,2012,0,0,0,0,0
452,95991,2012,0,0,0,0,0
453,90712,2012,0,0,0,0,0
454,90290,2012,0,0,0,0,0
455,95358,2012,3,3,0,0,0
456,92382,2012,0,0,0,0,0
457,95017,2012,0,0,0,0,0
458,93022,2012,0,0,0,0,0
459,92407,2012,4,4,0,0,0
460,91724,2012,0,0,0,0,0
461,93656,2012,0,0,0,0,0
462,90670,2012,33,28,0,0,5
463,94611,2012,1,0,0,0,1
464,94025,2012,2,1,0,0,1
465,95002,2012,0,0,0,0,0
466,92626,2012,0,0,0,0,0
467,91942,2012,0,0,0,0,0
468,91710,2012,23,19,0,0,4
469,90502,2012,2,2,0,0,0
470,92126,2012,4,4,0,0,0
471,92078,2012,2,1,0,0,1
472,93203,2012,1,0,1,0,0
473,91752,2012,31,28,2,0,1
474,90250,2012,2,2,0,0,0
475,94014,2012,0,0,0,0,0
476,93268,2012,1,1,0,0,0
477,95209,2012,0,0,0,0,0
478,92553,2012,0,0,0,0,0
479,94534,2012,4,4,0,0,0
480,95926,2012,0,0,0,0,0
481,93653,2012,0,0,0,0,0
482,94704,2012,0,0,0,0,0
483,94305,2012,0,0,0,0,0
484,95762,2012,0,0,0,0,0
485,95692,2012,0,0,0,0,0
486,90603,2012,1,1,0,0,0
487,94304,2012,0,0,0,0,0
488,95301,2012,0,0,0,0,0
489,95672,2012,0,0,0,0,0
490,92284,2012,0,0,0,0,0
491,94061,2012,0,0,0,0,0
492,93065,2012,1,1,0,0,0
493,92831,2012,1,1,0,0,0
494,92832,2012,0,0,0,0,0
495,93311,2012,1,0,0,1,0
496,95003,2012,0,0,0,0,0
497,95939,2012,0,0,0,0,0
498,93242,2012,0,0,0,0,0
499,91020,2012,0,0,0,0,0
500,90703,2012,6,4,0,0,2
501,95816,2012,0,0,0,0,0
502,94708,2012,0,0,0,0,0
503,95446,2012,0,0,0,0,0
504,92688,2012,0,0,0,0,0
505,94705,2012,0,0,0,0,0
506,92562,2012,0,0,0,0,0
507,95466,2012,0,0,0,0,0
508,94108,2012,1,1,0,0,0
509,92336,2012,6,6,0,0,0
510,95815,2012,4,4,0,0,0
511,95823,2012,3,2,1,0,0
512,94601,2012,2,2,0,0,0
513,92134,2012,0,0,0,0,0
514,91042,2012,0,0,0,0,0
515,91306,2012,0,0,0,0,0
516,91303,2012,0,0,0,0,0
517,95148,2012,1,1,0,0,0
518,94127,2012,0,0,0,0,0
519,95370,2012,0,0,0,0,0
520,95568,2012,0,0,0,0,0
521,93109,2012,0,0,0,0,0
522,90272,2012,0,0,0,0,0
523,94080,2012,7,5,1,0,1
524,92123,2012,5,1,0,0,4
525,91504,2012,1,1,0,0,0
526,94024,2012,0,0,0,0,0
527,92625,2012,0,0,0,0,0
528,92586,2012,1,0,0,0,1
529,91737,2012,0,0,0,0,0
530,95938,2012,0,0,0,0,0
531,95830,2012,0,0,0,0,0
532,93442,2012,0,0,0,0,0
533,92111,2012,1,1,0,0,0
534,95570,2012,0,0,0,0,0
535,95837,2012,0,0,0,0,0
536,96058,2012,0,0,0,0,0
537,95220,2012,0,0,0,0,0
538,95340,2012,3,3,0,0,0
539,93101,2012,0,0,0,0,0
540,95620,2012,0,0,0,0,0
541,95409,2012,0,0,0,0,0
