zip,year,est total,est gen,est cold,est farm,est other
0,93706,2016,5,5,0,0,0
1,91761,2016,94,84,6,0,4
2,95203,2016,3,2,1,0,0
3,93725,2016,15,9,1,3,2
4,90023,2016,12,6,5,0,1
5,93721,2016,3,0,1,1,1
6,95354,2016,2,1,1,0,0
7,93307,2016,1,0,0,1,0
8,90247,2016,0,0,0,0,0
9,90001,2016,2,1,1,0,0
10,90021,2016,11,3,8,0,0
11,95206,2016,15,12,2,0,1
12,95202,2016,0,0,0,0,0
13,95351,2016,0,0,0,0,0
14,92410,2016,2,2,0,0,0
15,90002,2016,0,0,0,0,0
16,92501,2016,1,0,0,0,1
17,93662,2016,1,0,1,0,0
18,90059,2016,2,2,0,0,0
19,90220,2016,21,20,1,0,0
20,92401,2016,0,0,0,0,0
21,90011,2016,1,1,0,0,0
22,95205,2016,1,0,0,0,1
23,90033,2016,1,0,1,0,0
24,93728,2016,0,0,0,0,0
25,95330,2016,11,9,2,0,0
26,90063,2016,0,0,0,0,0
27,92113,2016,1,0,0,0,1
28,91201,2016,0,0,0,0,0
29,90065,2016,2,2,0,0,0
30,92507,2016,12,12,0,0,0
31,92324,2016,2,1,1,0,0
32,93702,2016,0,0,0,0,0
33,91766,2016,6,4,0,1,1
34,90040,2016,17,15,1,0,1
35,90805,2016,4,3,0,0,1
36,90016,2016,0,0,0,0,0
37,90201,2016,6,3,1,1,1
38,92518,2016,2,2,0,0,0
39,92335,2016,16,13,3,0,0
40,93648,2016,0,0,0,0,0
41,93701,2016,0,0,0,0,0
42,91204,2016,0,0,0,0,0
43,95811,2016,1,1,0,0,0
44,90248,2016,7,6,0,0,1
45,90003,2016,0,0,0,0,0
46,92408,2016,16,15,0,0,1
47,91411,2016,0,0,0,0,0
48,92504,2016,0,0,0,0,0
49,91352,2016,3,1,1,0,1
50,90813,2016,4,2,1,0,1
51,91605,2016,4,3,0,0,1
52,90810,2016,19,19,0,0,0
53,90501,2016,11,11,0,0,0
54,91732,2016,0,0,0,0,0
55,95358,2016,4,3,1,0,0
56,90058,2016,30,12,16,0,2
57,95350,2016,1,1,0,0,0
58,93727,2016,5,4,0,0,1
59,91768,2016,2,2,0,0,0
60,90280,2016,6,2,2,0,2
61,90031,2016,0,0,0,0,0
62,93654,2016,6,1,5,0,0
63,90013,2016,1,0,1,0,0
64,91606,2016,0,0,0,0,0
65,90061,2016,1,1,0,0,0
66,90255,2016,0,0,0,0,0
67,92553,2016,5,5,0,0,0
68,93722,2016,1,0,1,0,0
69,90723,2016,1,0,0,1,0
70,90012,2016,1,1,0,0,0
71,91731,2016,2,1,0,0,1
72,90304,2016,0,0,0,0,0
73,90301,2016,4,4,0,0,0
74,91406,2016,7,5,1,0,1
75,92405,2016,1,0,1,0,0
76,91764,2016,9,9,0,0,0
77,91706,2016,9,5,2,0,2
78,90221,2016,9,8,1,0,0
79,90047,2016,0,0,0,0,0
80,91405,2016,0,0,0,0,0
81,93703,2016,0,0,0,0,0
82,92316,2016,4,2,1,0,1
83,91205,2016,0,0,0,0,0
84,90039,2016,0,0,0,0,0
85,92509,2016,8,4,4,0,0
86,92407,2016,3,3,0,0,0
87,90250,2016,2,2,0,0,0
88,95348,2016,1,1,0,0,0
89,95380,2016,5,0,5,0,0
90,90222,2016,2,2,0,0,0
91,91733,2016,3,2,1,0,0
92,95367,2016,3,2,0,0,1
93,90044,2016,0,0,0,0,0
94,95814,2016,1,1,0,0,0
95,91730,2016,35,27,1,1,6
96,90731,2016,5,4,0,0,1
97,91331,2016,0,0,0,0,0
98,90746,2016,6,4,2,0,0
99,90249,2016,4,3,0,0,1
100,90015,2016,4,3,1,0,0
101,91762,2016,1,1,0,0,0
102,93230,2016,3,1,0,2,0
103,90744,2016,8,3,3,0,2
104,95215,2016,9,7,0,0,2
105,90026,2016,0,0,0,0,0
106,94621,2016,6,5,0,1,0
107,90806,2016,0,0,0,0,0
108,90062,2016,0,0,0,0,0
109,91767,2016,3,2,0,0,1
110,90650,2016,5,4,1,0,0
111,90262,2016,3,2,0,0,1
112,93650,2016,0,0,0,0,0
113,90022,2016,3,3,0,0,0
114,94603,2016,2,2,0,0,0
115,92879,2016,3,2,0,0,1
116,93304,2016,0,0,0,0,0
117,92551,2016,6,6,0,0,0
118,90745,2016,19,15,1,1,2
119,93250,2016,1,0,1,0,0
120,90037,2016,0,0,0,0,0
121,90038,2016,2,0,0,0,2
122,90660,2016,9,5,1,0,3
123,93635,2016,0,0,0,0,0
124,93030,2016,5,4,1,0,0
125,90004,2016,0,0,0,0,0
126,92374,2016,23,22,0,0,1
127,90606,2016,0,0,0,0,0
128,92411,2016,0,0,0,0,0
129,90007,2016,2,2,0,0,0
130,90605,2016,1,1,0,0,0
131,92243,2016,0,0,0,0,0
132,92806,2016,5,4,0,0,1
133,95336,2016,4,2,1,0,1
134,90018,2016,1,0,0,0,1
135,90028,2016,0,0,0,0,0
136,91746,2016,14,10,2,0,2
137,93308,2016,5,1,1,1,2
138,93257,2016,2,2,0,0,0
139,95307,2016,1,0,0,0,1
140,93215,2016,3,1,2,0,0
141,90670,2016,33,27,1,0,5
142,91763,2016,2,1,0,0,1
