zip,year,est total,est gen,est cold,est farm,est other
90029,2019,0,0,0,0,0
91601,2019,0,0,0,0,0
91202,2019,0,0,0,0,0
93256,2019,0,0,0,0,0
90303,2019,0,0,0,0,0
93631,2019,0,0,0,0,0
92805,2019,4,0,0,0,0
94601,2019,5,5,0,0,0
90631,2019,0,0,0,0,0
95824,2019,0,0,0,0,0
92707,2019,3,3,0,0,0
93726,2019,0,0,0,0,0
95322,2019,0,0,0,0,0
92201,2019,0,0,0,0,0
95652,2019,3,0,0,0,0
92571,2019,8,6,0,0,0
91203,2019,0,0,0,0,0
92882,2019,3,0,0,0,0
95838,2019,3,3,0,0,0
94124,2019,6,4,0,0,0
90706,2019,0,0,0,0,0
92404,2019,0,0,0,0,0
93625,2019,0,0,0,0,0
92346,2019,0,0,0,0,0
95837,2019,0,0,0,0,0
95301,2019,0,0,0,0,0
91770,2019,0,0,0,0,0
95821,2019,0,0,0,0,0
92354,2019,0,0,0,0,0
93291,2019,10,8,0,0,0
93263,2019,4,4,0,0,0
93610,2019,0,0,0,0,0
92102,2019,0,0,0,0,0
95020,2019,0,0,0,0,0
93219,2019,0,0,0,0,0
95828,2019,7,5,0,0,0
94606,2019,0,0,0,0,0
92377,2019,6,5,0,0,0
93239,2019,0,0,0,0,0
92701,2019,0,0,0,0,0
90601,2019,5,5,0,0,0
95112,2019,4,3,0,0,0
95376,2019,10,8,0,0,0
95207,2019,0,0,0,0,0
93710,2019,0,0,0,0,0
94806,2019,0,0,0,0,0
93313,2019,3,0,0,0,0
93647,2019,0,0,0,0,0
94607,2019,5,4,0,0,0
91910,2019,0,0,0,0,0
90006,2019,0,0,0,0,0
95204,2019,0,0,0,0,0
93630,2019,0,0,0,0,0
95240,2019,3,0,0,0,0
91401,2019,0,0,0,0,0
94130,2019,0,0,0,0,0
90043,2019,0,0,0,0,0
90506,2019,0,0,0,0,0
91340,2019,3,3,0,0,0
92376,2019,13,13,0,0,0
90680,2019,0,0,0,0,0
93212,2019,3,0,0,3,0
92020,2019,0,0,0,0,0
91950,2019,7,3,0,0,3
95829,2019,0,0,0,0,0
93249,2019,0,0,0,0,0
95131,2019,5,0,0,0,0
92227,2019,0,0,0,0,0
93704,2019,0,0,0,0,0
91752,2019,43,40,0,0,0
92505,2019,0,0,0,0,0
92831,2019,6,6,0,0,0
93608,2019,0,0,0,0,0
94590,2019,0,0,0,0,0
94303,2019,0,0,0,0,0
90638,2019,9,9,0,0,0
90621,2019,4,4,0,0,0
93609,2019,0,0,0,0,0
90260,2019,0,0,0,0,0
95961,2019,0,0,0,0,0
92703,2019,0,0,0,0,0
90302,2019,4,0,0,0,0
90710,2019,0,0,0,0,0
91801,2019,0,0,0,0,0
91790,2019,0,0,0,0,0
90034,2019,0,0,0,0,0
95210,2019,0,0,0,0,0
93267,2019,0,0,0,0,0
91754,2019,4,3,0,0,0
95363,2019,7,4,0,0,0
92336,2019,9,8,0,0,0
92236,2019,0,0,0,0,0
91702,2019,0,0,0,0,0
95133,2019,0,0,0,0,0
93305,2019,0,0,0,0,0
92705,2019,6,5,0,0,0
91010,2019,0,0,0,0,0
95928,2019,0,0,0,0,0
95337,2019,0,0,0,0,0
94608,2019,4,3,0,0,0
93612,2019,0,0,0,0,0
92543,2019,0,0,0,0,0
92557,2019,0,0,0,0,0
91335,2019,0,0,0,0,0
94509,2019,4,0,0,0,0
93646,2019,0,0,0,0,0
95304,2019,14,10,0,0,3
92101,2019,3,0,0,0,0
93723,2019,0,0,0,0,0
92683,2019,0,0,0,0,0
92281,2019,0,0,0,0,0
90404,2019,0,0,0,0,0
90715,2019,0,0,0,0,0
